"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R41,R39,R43,R42,R40,R44,R49,R38,R48,R45,R47,R46";"R_0805_2012Metric";12;"1K";;;
2;"R71,R72,R70,R84,R69,R12,R73,R74,R75,R77,R79,R76,R78";"R_0805_2012Metric";13;"2k";;;
3;"U6,U5,U7,U3,U4,U8,U12,U16,U13,U15,U14,U11";"ISP817SM_ISO";12;"ISP817CXSM";;;
4;"C10,C8,C11,C9,C13,C12,C15,C22,C7,C16,C20,C19,C23,C14,C21,C18,C17";"C_1206_3216Metric";17;"10u";;;
5;"R2";"R_1206_3216Metric";1;"20m";;;
6;"R99,R94,R13,R23,R100,R88,R17,R86,R87,R21,R19,R89,R95,R90,R15,R92,R35,R27,R33,R31,R37,R29";"R_0805_2012Metric";22;"1k";;;
7;"D38,D41,D42,D37,D40,D39";"SMDJ6_0CA";6;"SMDJ60CA";;;
8;"D8,D4,D11,D5,D12,D3,D7,D10,D6,D15,D9,D2";"1N4148WS";12;"1N4148WS";;;
9;"CR31,CR27,CR30,CR28,CR29";"SMDJ6_0A";5;"SMDJ6.0A";;;
10;"R18,R20,R22,R16,R68,R83,R14,R32,R34,R30,R28,R26,R36";"R_0805_2012Metric";13;"3k";;;
11;"R5,R58,R57,R55,R56,R60,R59";"R_0805_2012Metric";7;"10K";;;
12;"C1";"C_0805_2012Metric";1;".47u";;;
13;"R10,R8";"R_0805_2012Metric";2;"100k";;;
14;"C4";"C_1206_3216Metric";1;"33u";;;
15;"J5,J1,J2,J4,J3";"PCI_Express_Card";5;"10018783-10202TLF";;;
16;"CR16,CR6,CR8,CR10,CR14,CR12,CR25,CR19,CR24,CR26,CR20,CR18";"SMDJ33A";12;"SMDJ33A";;;
17;"R9";"R_0805_2012Metric";1;"10";;;
18;"CR35,CR38,CR36,CR37,CR33,CR34,CR43,CR44,CR41,CR39,CR42,CR40";"RBR1MM60ATFTR(new_VR_diode)";12;"RBR1MM60ATFTR";;;
19;"C3";"C_0603_1608Metric";1;"3.3n";;;
20;"CR32";"RF201LAM2STR(new_POW_diode)";1;"RF201LAM2STR";;;
21;"R1,R4";"R_0805_2012Metric";2;"30k";;;
22;"C2";"C_0603_1608Metric";1;"0.1u";;;
23;"R67,R66";"R_0603_1608Metric";2;"2";;;
24;"R63,R61";"R_0805_2012Metric";2;"2.2k";;;
25;"R62,R65,R64";"R_0402_1005Metric";3;"200";;;
26;"U2";"SOIC8_751EB_FAS";1;"FDS4435A";;;
27;"J6";"BP_Connector";1;"5019514000";;;
28;"R25";"R_0805_2012Metric";1;"4.7k";;;
29;"R81,R3";"R_0805_2012Metric";2;"200k";;;
30;"C6,C5";"C_1206_3216Metric";2;"2.2u";;;
31;"U1";"TSSOP20-EP_4P4X6P5_ADI";1;"LTC3894EFE-PBF";;;
32;"R24,R6";"R_0805_2012Metric";2;"15k";;;
33;"L1";"22uH_IND";1;"22u";;;
34;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5818";;;
35;"R85";"R_0805_2012Metric";1;"1.5k";;;
36;"U9,U10";"CP_8_5_ADI";2;"ADP7104ACPZ-R7";;;
37;"R50,R51,R54,R52,R53";"R_0805_2012Metric";5;"100K";;;
38;"D34,D29,D28,D33,D30,D31,D35,D27,D36,D32";"1N5819";10;"1N5819HW-7-F";;;
39;"U17,U21,U19,U18,U20";"OP191";5;"OP191GSZ-REEL7";;;
40;"R11";"R_0805_2012Metric";1;"12";;;
41;"R82,R80";"R_0805_2012Metric";2;"22k";;;
42;"CR1";"SMDJ85A";1;"SMDJ85A";;;
43;"R7";"R_0805_2012Metric";1;"10k";;;
