"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R2";"R_0805_2012Metric";2;"27";;;
2;"C1,C12";"C_0805_2012Metric";2;"4.7uF";;;
3;"R16,R19";"R_0805_2012Metric";2;"1.13k";;;
4;"C36,C32,C35";"C_0805_2012Metric";3;"47uF";;;
5;"C24,C33,C34,C28,C37,C38";"C_0805_2012Metric";6;"0.1uF";;;
6;"R20";"R_0805_2012Metric";1;"750";;;
7;"J2";"SAMTEC_FTSH-107-01-F-DV-K-P-TR";1;"ST STDC14 (Debug Connector)";;;
8;"D3,D4";"LED_0805_2012Metric";2;"LED";;;
9;"C60,C52,C18,C48,C19,C62,C54,C61,C59,C49";"C_0805_2012Metric";10;"22uF";;;
10;"R28,R34";"R_0805_2012Metric";2;"1.2k";;;
11;"U3";"SOIC-18WB_HIC";1;"HI-3110PSIF";;;
12;"C57,C31,C30,C56";"C_0805_2012Metric";4;"20pF";;;
13;"C6,C25,C21,C13";"C_0805_2012Metric";4;"10nF";;;
14;"C7,C9,C8,C10,C11,C5";"C_0805_2012Metric";6;"100nF";;;
15;"Y1";"XTAL_ABM3B-8.000MHZ-10-1-U-T";1;"8MHz Crystal";;;
16;"U8";"DGK8_TEX";1;"OPA2187IDGKR";;;
17;"C23";"C_0402_1005Metric";1;"0.015uF";;;
18;"J4";"pin header";1;"Conn_01x02_Pin";;;
19;"U7";"CP_8_5_ADI";1;"ADP7104ACPZ-R7 (v3.3)";;;
20;"R18,R17";"R_0805_2012Metric";2;"1M";;;
21;"C3,C4";"C_0805_2012Metric";2;"47pF";;;
22;"C47,C50";"C_0603_1608Metric";2;".1uF";;;
23;"R11,R9";"R_0805_2012Metric";2;"10k";;;
24;"U4";"FT231XS-R_FTD";1;"FT231XS-R";;;
25;"R23,R22";"R_0805_2012Metric";2;"1k";;;
26;"D1";"LED_0805_2012Metric";1;"PWR_LED";;;
27;"J3";"GCT_USB4105-GF-A";1;"USB4105-GF-A";;;
28;"C27";"C_0805_2012Metric";1;"10uF";;;
29;"U1";"SOIC-8_S";1;"LTC1298IS8_PBF";;;
30;"R30,R31,R33,R32";"R_0603_1608Metric";4;"30";;;
31;"C29,C55";"C_0603_1608Metric";2;"200pF";;;
32;"U2";"SO-8_S_LIT";1;"LTC1451IS8-PBF";;;
33;"C22";"C_0603_1608Metric";1;"2nF";;;
34;"R14,R13";"R_0805_2012Metric";2;"270";;;
35;"U10";"DGK8_TEX";1;"INA827AIDGKR";;;
36;"U13";"QFP80P1390X1390X150-44N";1;"HI-3585APQI";;;
37;"L2";"LED_0805_2012Metric";1;"47uH";;;
38;"U14";"SO-G8_1_MXM";1;"MAX764ESA";;;
39;"C45,C17,C16,C46";"C_0805_2012Metric";4;"10pF";;;
40;"U12";"SOT-23-6_TEX";1;"REF3425MDBVTEP";;;
41;"C2,C20,C42,C41";"C_0805_2012Metric";4;".1uF";;;
42;"D2";"1N5817";1;"1N5817";;;
43;"R7";"R_0805_2012Metric";1;"5.6k";;;
44;"Y2";"XTAL_ABM8-24.000MHz-10-B1U-T";1;"ABM8-24.000MHz-10-B1U-T";;;
45;"C26,C14,C15";"C_0805_2012Metric";3;"1uF";;;
46;"U9";"CP_8_5_ADI";1;"ADP7104ACPZ-R7 (5v)";;;
47;"D5";"LED_0805_2012Metric";1;"GPIO_LED";;;
48;"U5";"QFP50P1200X1200X160-64N";1;"STM32F103RBT6";;;
49;"U11";"SO-8_S_LIT";1;"LTC1250CS8-PBF";;;
50;"C58";"C_0805_2012Metric";1;"330nF";;;
51;"FB1,FB2";"L_0805_2012Metric";2;"120R";;;
52;"R15";"R_0805_2012Metric";1;"10.7k";;;
53;"R10,R5";"R_0805_2012Metric";2;"100k";;;
54;"C44,C39";"C_0805_2012Metric";2;".001uF";;;
55;"C51";"C_1206_3216Metric";1;"10uF";;;
56;"R12";"R_0805_2012Metric";1;"1.5Meg";;;
57;"R6,R8";"R_0805_2012Metric";2;"17.4k";;;
58;"C53";"C_0805_2012Metric";1;"2.2uF";;;
59;"R24";"R_0805_2012Metric";1;"2.5k";;;
60;"R21";"R_0805_2012Metric";1;"5.5k";;;
61;"R25,R26";"R_0805_2012Metric";2;"5.1k";;;
62;"R4,R1,R29";"R_0805_2012Metric";3;"22";;;
63;"U6";"SOT23-5_STM";1;"STWD100YNXWY3F";;;
64;"C40,C43";"C_0805_2012Metric";2;".01uF";;;
65;"J1";"BUS_PCIexpress_x8";1;"Bus_PCI_Express_x8";;;
66;"R27";"R_0805_2012Metric";1;"4.7k";;;
